Latitude,Longitude,Time,Predicted Value,Actual Value
41.10714,29.0291,2025-03-14 12:14:50.321,-95.74,-79.2
41.10714,29.0291,2025-03-14 12:14:50.500,-95.74,-80.7
41.10709,29.02904,2025-03-14 12:14:51.081,-95.53,-85.9
41.10709,29.02904,2025-03-14 12:14:51.500,-95.53,-89.4
41.10703,29.02897,2025-03-14 12:14:52.323,-95.29,-89.6
41.10703,29.02897,2025-03-14 12:14:52.531,-95.29,-88.6
41.10697,29.02888,2025-03-14 12:14:53.039,-95.5,-86.5
41.10697,29.02888,2025-03-14 12:14:53.519,-95.5,-87.5
41.1069,29.0288,2025-03-14 12:14:54.325,-95.41,-85.8
41.1069,29.0288,2025-03-14 12:14:54.531,-95.41,-85.1
41.10684,29.02873,2025-03-14 12:14:55.039,-95.5,-84.6
41.10684,29.02873,2025-03-14 12:14:55.551,-95.5,-78.9
41.10679,29.02866,2025-03-14 12:14:56.327,-96.14,-84.9
41.10676,29.02862,2025-03-14 12:14:56.559,-96.63,-83.9
41.10673,29.02858,2025-03-14 12:14:57.500,-97.3,-80.2
41.10673,29.02858,2025-03-14 12:14:58.000,-97.3,-78.2
41.10668,29.02851,2025-03-14 12:14:58.500,-99.29,-75.6
41.10663,29.02845,2025-03-14 12:14:59.041,-101.87,-76.8
41.10663,29.02845,2025-03-14 12:14:59.091,-101.87,-80.2
41.1066,29.02841,2025-03-14 12:14:59.999,-105.44,-79.6
41.10657,29.02838,2025-03-14 12:15:00.499,-109.11,-78.5
41.10653,29.02833,2025-03-14 12:15:01.015,-191.28,-75.1
41.10653,29.02833,2025-03-14 12:15:01.499,-191.28,-73.0
41.10649,29.02828,2025-03-14 12:15:02.016,-190.5,-76.4
41.10649,29.02828,2025-03-14 12:15:02.500,-190.5,-76.5
41.10646,29.02823,2025-03-14 12:15:03.054,-189.86,-79.8
41.10646,29.02823,2025-03-14 12:15:03.500,-189.86,-81.6
41.10642,29.02818,2025-03-14 12:15:04.009,-189.04,-82.9
41.10642,29.02818,2025-03-14 12:15:04.499,-189.04,-82.2
41.10637,29.02813,2025-03-14 12:15:05.020,-188.02,-82.0
41.10637,29.02813,2025-03-14 12:15:05.500,-188.02,-80.7
41.10637,29.02813,2025-03-14 12:15:05.598,-188.02,-80.3
41.10632,29.02805,2025-03-14 12:15:06.501,-186.85,-79.7
41.10627,29.02798,2025-03-14 12:15:07.018,-185.69,-82.4
