Longitude,Latitude
29.027509999999996,41.09969
29.01999,41.10444
29.01794,41.10221
29.01567,41.10518
29.02101,41.10581
29.02187,41.10801
29.02161,41.10634
29.02152,41.10689
29.02441,41.09918
29.02138,41.10453
29.02131,41.10051
29.02296,41.1047
29.0232,41.09943
29.02265,41.10466
29.01536,41.10559
29.02089,41.107910000000004
29.02544,41.09895
29.02913,41.10776
29.02683,41.10791
29.024390000000004,41.107839999999996
29.03117,41.09981
29.024970000000007,41.10785
29.020042,41.101024
29.0277,41.10642333333333
29.02512,41.09892
29.01631,41.10676
29.028939999999995,41.10714
29.02164,41.10025
29.02484,41.10786
29.026209999999995,41.105169999999994
29.01684,41.10701
29.01546842105264,41.10542157894737
29.02281,41.10543
29.025110000000005,41.10783000000001
29.026370000000004,41.09909999999999
29.02462,41.10786
29.01713,41.10709
29.02732,41.1079
29.02462,41.10786
29.021060000000002,41.10582
29.02915,41.10751
29.02221,41.09985
29.01536,41.10562
29.027119999999996,41.10792999999999
29.02161,41.10627
29.02606,41.10783
29.02389,41.10773
29.020039999999998,41.10435999999999
29.02342,41.10761
29.0231,41.10757
29.025985,41.107845
29.02667,41.10786
29.02634,41.10516
29.027209999999997,41.09942
29.02348,41.10476
29.019,41.10745
29.01949,41.10116
29.02598,41.1051
29.015359999999998,41.105880000000006
29.02184,41.10801
29.02406,41.10483
29.02709,41.10527
29.02635,41.10703
29.02869,41.10682
29.02186,41.10745
29.02619,41.10774
29.021259999999998,41.100545
29.02904,41.10709
29.026570000000003,41.10569
29.015859999999993,41.106440000000006
29.02301,41.10757
29.024469999999997,41.10494
29.01988,41.10521
29.02253,41.09967
29.01568999999999,41.10632000000001
29.018330000000002,41.10173
29.02276,41.10752
29.01772,41.10255
29.02062,41.10572
29.019149999999996,41.10753
29.020030000000002,41.10437
29.02914,41.10767
29.020040000000005,41.10436
29.021974444444442,41.100004444444444
29.02949,41.10723
29.01705,41.10358
29.028800000000004,41.1069
29.02605967213114,41.10782983606558
29.0275,41.1072
29.022519999999997,41.10667
29.02318,41.10756
29.026439999999997,41.106559999999995
29.02901,41.10722
29.024792272727282,41.10785999999999
29.02123,41.10056
29.02392,41.09931
29.02912,41.10778
